 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Angle(ovalo_1),Median(ovalo_1),Length(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Angle(ovalo_2),Median(ovalo_2),Length(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Angle(ovalo_3),Median(ovalo_3),Length(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Angle(ovalo_4),Median(ovalo_4),Length(ovalo_4)
32,51,76.078,18.425,0,73,50,51,73.529,25.032,90,82,50,1976,71.247,27.615,0,66,0,51,62.118,12.496,0,62,50,51,61.196,23.714,90,62,50,1976,61.216,24.851,0,55,0,51,80.196,20.533,0,82,50,51,76.725,27.491,90,89,50,1976,74.571,30.382,0,69,0,51,86.137,23.288,0,91,50,51,82.588,29.412,90,100,50,1976,79.233,32.835,0,73,0
33,51,76.745,18.648,0,75,50,51,74.922,26.313,90,84,50,1976,72.197,28.314,0,66,0,51,62.137,12.546,0,62,50,51,60.843,23.773,90,62,50,1976,61.020,24.862,0,55,0,51,80.255,20.320,0,84,50,51,76.510,27.113,90,89,50,1976,74.369,30.104,0,69,0,51,85.882,23.077,0,91,50,51,82.216,29.486,90,100,50,1976,79.213,32.774,0,73,0
34,51,77.431,18.827,0,78,50,51,76.471,26.240,90,85,50,1976,73.265,28.753,0,68,0,51,61.863,12.734,0,62,50,51,61.647,23.923,90,60,50,1976,61.056,24.824,0,55,0,51,80.216,20.495,0,84,50,51,76.353,27.039,90,87,50,1976,74.095,29.912,0,69,0,51,85.843,22.945,0,91,50,51,82.157,29.516,90,100,50,1976,79.048,32.731,0,73,0
35,51,78.686,19.338,0,80,50,51,76.451,26.403,90,85,50,1976,74.012,29.180,0,68,0,51,61.706,12.259,0,62,50,51,61.235,23.892,90,62,50,1976,60.971,24.656,0,55,0,51,79.392,20.135,0,82,50,51,76.451,27.100,90,89,50,1976,73.884,29.989,0,69,0,51,86.000,22.963,0,91,50,51,81.569,29.705,90,98,50,1976,79.078,32.734,0,73,0
36,51,79.373,19.917,0,80,50,51,77.353,26.724,90,87,50,1976,74.705,29.572,0,69,0,51,61.529,12.515,0,62,50,51,61.137,23.697,90,60,50,1976,60.921,24.644,0,55,0,51,79.078,20.167,0,80,50,51,75.922,27.222,90,89,50,1976,73.613,29.825,0,69,0,51,86.059,23.046,0,91,50,51,81.510,29.115,90,100,50,1976,79.034,32.650,0,73,0
37,51,79.451,19.638,0,80,50,51,77.647,26.798,90,85,50,1976,75.038,29.817,0,69,0,51,61.569,12.434,0,62,50,51,61.176,23.716,90,60,50,1976,60.911,24.574,0,55,0,51,79.020,20.323,0,82,50,51,75.529,26.642,90,89,50,1976,73.478,29.662,0,69,0,51,85.902,22.994,0,91,50,51,81.588,29.440,90,100,50,1976,78.944,32.601,0,73,0
38,51,79.882,19.889,0,82,50,51,78.627,26.784,90,89,50,1976,75.747,30.236,0,69,0,51,61.922,12.187,0,62,50,51,61.294,23.477,90,60,50,1976,61.212,24.440,0,55,0,51,78.196,19.626,0,82,50,51,75.569,26.352,90,87,50,1976,73.295,29.393,0,68,0,51,85.784,22.689,0,89,50,51,81.608,28.929,90,100,50,1976,78.932,32.595,0,73,0
39,51,80.882,20.244,0,82,50,51,78.490,27.408,90,89,50,1976,76.138,30.490,0,71,0,51,61.941,12.409,0,64,50,51,62.000,23.604,90,62,50,1976,61.309,24.555,0,55,0,51,78.176,19.925,0,82,50,51,75.255,26.845,90,89,50,1976,73.050,29.419,0,68,0,51,85.549,22.440,0,89,50,51,81.490,28.984,90,100,50,1976,78.824,32.428,0,73,0
40,51,81.569,20.717,0,82,50,51,79.216,27.673,90,89,50,1976,76.673,30.850,0,71,0,51,62.176,12.323,0,64,50,51,61.941,23.794,90,62,50,1976,61.262,24.591,0,55,0,51,78.235,19.916,0,82,50,51,75.000,26.845,90,89,50,1976,72.846,29.274,0,68,0,51,85.431,22.546,0,91,50,51,81.510,29.101,90,100,50,1976,78.707,32.311,0,73,0
41,51,81.882,20.898,0,80,50,51,79.863,27.807,90,89,50,1976,77.019,31.118,0,71,0,51,62.118,12.162,0,62,50,51,62.804,24.164,90,64,50,1976,61.484,24.653,0,55,0,51,77.510,19.310,0,82,50,51,74.157,26.526,90,85,50,1976,72.540,29.095,0,68,0,51,85.549,22.769,0,91,50,51,81.686,29.385,90,100,50,1976,78.640,32.348,0,73,0
