 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
309,72.647,23.867,39,136,0,50,81.549,18.548,51,121,90,50,80.442,20.949,21,155,56.549,17.949,35,109,0,50,66.569,20.636,42,125,90,50,65.987,22.422,17,175,68.392,20.195,39,125,0,50,82.686,19.820,53,130,90,50,81.129,23.480,14,180,67.725,21.960,35,121,0,50,77.922,17.749,50,119,90,50,76.787,20.107,10,150
310,74.235,24.402,39,139,0,50,83.392,19.553,51,128,90,50,82.246,21.700,19,159,56.078,17.841,34,105,0,50,65.863,19.633,42,123,90,50,65.655,21.862,17,175,68.490,20.552,41,123,0,50,81.725,19.654,53,127,90,50,80.769,23.471,16,182,69.059,22.763,35,127,0,50,79.549,17.650,51,118,90,50,78.422,20.433,10,152
311,75.275,25.116,41,145,0,50,84.961,20.164,51,128,90,50,83.959,22.267,19,161,56.608,17.316,34,102,0,50,65.667,18.494,44,116,90,50,65.206,20.513,17,164,68.118,20.210,41,125,0,50,80.510,19.387,50,125,90,50,80.218,23.199,14,180,69.882,22.852,37,125,0,50,80.176,17.967,50,121,90,50,79.524,20.860,10,159
312,75.804,24.974,42,143,0,50,86.412,20.075,55,128,90,50,84.903,22.393,19,161,56.118,17.326,34,100,0,50,65.686,18.904,44,116,90,50,65.084,20.193,19,159,67.824,20.213,41,123,0,50,80.725,20.206,50,128,90,50,80.142,23.637,14,184,70.667,23.491,37,128,0,50,81.941,18.326,53,121,90,50,80.548,21.126,10,155
313,76.627,25.398,41,146,0,50,88.176,20.987,53,132,90,50,85.480,22.682,19,162,55.627,17.460,34,100,0,50,66.000,18.944,44,116,90,50,65.282,20.271,14,155,67.471,20.218,41,123,0,50,79.824,20.232,50,128,90,50,79.588,23.464,14,182,71.392,23.777,39,128,0,50,83.667,19.294,55,123,90,50,81.390,21.435,10,155
314,76.725,24.787,41,143,0,50,89.392,20.848,55,134,90,50,85.889,22.973,17,166,56.608,16.886,35,100,0,50,66.196,19.318,44,121,90,50,65.387,20.232,14,153,66.686,19.456,41,118,0,50,79.843,19.678,50,127,90,50,79.082,23.335,12,184,71.529,23.452,37,128,0,50,83.784,18.604,53,123,90,50,81.585,21.470,10,153
315,76.765,25.220,41,143,0,50,89.137,21.142,53,134,90,50,85.932,22.884,19,161,56.725,17.140,35,102,0,50,66.039,18.059,44,116,90,50,65.384,19.577,16,148,66.098,19.877,41,118,0,50,78.745,19.674,50,127,90,50,78.478,23.326,12,186,70.784,23.464,37,127,0,50,83.529,19.360,53,123,90,50,81.655,21.595,10,159
316,76.137,25.275,41,143,0,50,88.863,21.090,55,130,90,50,85.702,22.903,21,166,58.373,17.542,35,102,0,50,66.706,16.291,46,110,90,50,66.394,18.923,16,146,65.275,19.981,41,118,0,50,78.157,19.781,50,128,90,50,77.728,23.714,14,187,70.745,23.239,37,127,0,50,83.961,19.270,53,123,90,50,81.827,21.720,10,164
317,75.922,24.598,41,141,0,50,88.647,20.680,55,136,90,50,85.610,23.136,21,168,60.980,20.556,35,118,0,50,70.314,16.651,46,114,90,50,69.126,18.934,16,148,64.922,19.622,41,118,0,50,77.824,19.987,50,127,90,50,77.151,23.633,14,186,70.765,22.892,37,128,0,50,84.098,19.068,53,123,90,50,81.879,21.950,10,164
318,75.549,24.385,41,141,0,50,88.039,20.961,53,132,90,50,85.110,23.222,21,173,63.980,21.653,34,127,0,50,73.804,16.783,48,116,90,50,71.999,19.226,14,145,65.137,19.635,41,123,0,50,76.627,20.266,46,128,90,50,76.436,23.557,14,184,70.608,22.227,39,123,0,50,84.216,19.310,53,123,90,50,81.900,22.075,10,171
