 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
502,59.588,7.460,23,64,0,50,61.824,4.288,55,69,90,50,59.417,7.494,12,73,52.314,6.686,21,55,0,50,52.961,4.113,46,60,90,50,51.382,6.559,12,62,50.627,7.108,19,55,0,50,52.569,4.383,44,60,90,50,50.542,7.403,12,64,48.824,7.304,17,55,0,50,50.922,6.273,42,62,90,50,48.832,7.979,12,62
503,64.137,8.316,25,68,0,50,66.922,3.149,60,73,90,50,64.296,7.730,17,73,51.255,6.939,19,55,0,50,52.804,3.704,46,59,90,50,50.849,6.679,12,59,52.333,7.512,19,57,0,50,53.941,4.839,44,64,90,50,52.472,7.603,12,64,48.824,6.922,17,55,0,50,50.706,6.795,39,64,90,50,49.008,7.990,10,66
504,67.647,9.200,25,73,0,50,69.333,2.574,62,73,90,50,67.158,7.964,17,76,52.137,7.017,19,55,0,50,53.098,3.523,46,59,90,50,50.677,6.527,12,62,54.196,7.335,19,59,0,50,57.137,5.385,48,66,90,50,55.621,8.053,12,68,49.216,7.385,17,57,0,50,51.549,5.773,42,60,90,50,49.003,8.045,10,62
505,68.569,8.853,28,75,0,50,70.647,2.719,64,78,90,50,68.266,8.017,19,78,50.451,6.883,19,55,0,50,52.353,4.485,44,59,90,50,50.178,6.679,12,60,60.333,8.597,21,66,0,50,62.745,4.812,53,71,90,50,60.051,8.613,14,73,47.745,6.729,17,53,0,50,49.922,6.199,41,60,90,50,47.936,7.820,10,60
506,68.529,9.138,28,75,0,50,71.471,3.055,66,80,90,50,68.390,8.296,19,80,51.137,6.847,19,55,0,50,51.216,4.249,46,59,90,50,49.927,6.595,12,60,60.294,8.367,21,64,0,50,63.020,4.726,53,73,90,50,60.601,8.479,14,73,47.882,6.834,16,55,0,50,49.059,6.316,37,59,90,50,47.765,7.708,10,60
507,68.196,9.051,26,73,0,50,70.980,2.302,66,76,90,50,68.253,7.997,19,78,49.471,6.589,21,55,0,50,50.529,4.531,42,59,90,50,49.282,6.619,12,60,58.922,7.902,21,62,0,50,63.961,4.400,57,73,90,50,60.525,8.494,14,73,47.373,6.820,17,53,0,50,49.490,6.038,39,60,90,50,47.758,7.713,10,60
508,69.275,9.563,25,75,0,50,71.804,3.424,64,80,90,50,68.669,8.246,19,80,49.118,6.446,21,53,0,50,51.314,3.625,46,59,90,50,49.439,6.439,12,60,60.490,8.425,23,66,0,50,64.353,4.685,57,73,90,50,61.473,8.699,14,75,48.627,6.988,17,55,0,50,51.216,5.394,37,59,90,50,49.061,7.558,10,64
509,69.039,9.145,26,73,0,50,71.392,3.323,62,76,90,50,68.016,8.137,19,78,50.098,6.783,21,55,0,50,51.529,3.501,46,59,90,50,49.510,6.841,12,60,60.333,8.555,23,66,0,50,64.686,4.864,55,73,90,50,61.604,8.770,14,75,47.392,6.456,19,55,0,50,49.608,5.254,42,60,90,50,48.096,7.561,10,62
510,68.471,9.251,26,73,0,50,70.137,3.111,62,78,90,50,67.913,8.058,19,80,51.196,7.214,19,57,0,50,52.431,3.164,44,59,90,50,50.831,6.683,12,60,60.039,8.741,23,66,0,50,64.549,5.394,53,75,90,50,61.433,8.847,14,75,48.471,6.540,17,53,0,50,50.980,6.686,37,60,90,50,49.102,7.866,10,66
511,68.549,9.274,23,73,0,50,70.176,2.725,64,76,90,50,67.896,8.037,17,78,50.941,6.941,19,55,0,50,52.529,3.022,46,57,90,50,50.656,6.659,12,59,60.588,8.916,21,66,0,50,64.686,5.490,53,75,90,50,61.548,9.063,14,75,50.510,7.069,19,57,0,50,52.353,5.695,41,60,90,50,50.662,7.648,10,62
512,67.118,9.147,23,73,0,50,70.020,3.043,64,78,90,50,67.582,8.131,17,80,51.294,7.206,19,57,0,50,53.647,2.890,46,59,90,50,50.883,6.547,12,59,59.784,8.098,21,64,0,50,63.667,5.694,53,75,90,50,60.927,8.659,14,75,52.353,7.459,17,57,0,50,54.804,7.014,42,66,90,50,53.115,8.287,10,69
513,65.157,8.916,23,71,0,50,69.569,3.551,64,78,90,50,66.874,8.248,17,80,51.176,7.359,19,57,0,50,52.961,2.742,46,57,90,50,50.773,6.811,12,59,59.314,8.113,21,64,0,50,63.569,4.797,55,75,90,50,60.311,8.437,14,75,54.961,7.866,21,60,0,50,57.059,6.470,46,69,90,50,55.253,8.421,12,71
514,67.020,8.322,26,71,0,50,70.020,3.326,64,78,90,50,67.366,8.250,17,80,50.314,6.769,19,55,0,50,51.549,4.036,44,57,90,50,50.055,6.627,12,59,60.314,8.638,21,66,0,50,63.549,6.061,51,75,90,50,61.229,8.958,14,76,54.961,7.805,19,62,0,50,58.020,5.921,46,69,90,50,56.203,8.369,12,69
515,66.706,9.285,23,71,0,50,69.196,3.382,62,76,90,50,66.621,8.300,17,78,50.725,6.688,19,55,0,50,52.490,4.929,44,60,90,50,50.109,6.856,12,60,60.353,8.530,21,64,0,50,64.216,4.658,57,75,90,50,61.010,8.805,14,75,57.314,8.211,19,64,0,50,58.902,6.631,46,71,90,50,57.145,8.747,12,71
516,65.961,9.033,23,71,0,50,69.059,3.501,62,78,90,50,66.364,8.056,17,78,49.529,7.128,19,55,0,50,51.588,3.920,44,57,90,50,49.935,6.802,12,57,59.804,8.433,21,66,0,50,64.333,4.629,51,73,90,50,60.864,8.819,14,75,58.490,8.274,21,64,0,50,60.686,7.401,46,71,90,50,58.598,9.266,12,71
517,66.235,9.101,23,71,0,50,69.647,4.009,60,78,90,50,66.548,8.253,17,78,50.392,6.989,19,55,0,50,51.843,2.549,46,57,90,50,49.846,6.106,12,57,59.157,8.554,21,66,0,50,62.843,4.843,51,71,90,50,59.670,8.523,14,73,59.118,8.719,21,66,0,50,60.451,8.228,44,73,90,50,58.134,9.478,12,73
518,65.608,9.183,23,71,0,50,68.137,3.418,60,73,90,50,65.666,8.072,17,75,52.784,6.859,19,57,0,50,55.196,4.055,50,62,90,50,52.611,6.620,12,66,58.627,8.117,21,62,0,50,62.667,5.402,55,73,90,50,59.948,8.657,14,75,58.588,8.412,21,64,0,50,59.098,7.991,44,69,90,50,57.985,9.314,12,75
519,65.294,8.805,25,69,0,50,67.255,3.815,60,73,90,50,64.871,7.932,17,75,56.745,7.652,19,60,0,50,59.000,4.303,53,66,90,50,56.720,7.316,14,66,58.863,8.193,21,64,0,50,62.176,5.603,51,73,90,50,59.592,8.556,14,73,57.216,7.739,21,62,0,50,59.608,6.995,44,71,90,50,57.380,9.021,12,75
520,64.314,8.721,25,71,0,50,66.922,3.463,62,73,90,50,64.412,7.837,17,75,58.647,7.665,21,62,0,50,60.216,3.733,53,68,90,50,58.025,7.424,14,68,59.333,8.779,21,66,0,50,62.353,5.007,51,73,90,50,59.456,8.541,14,73,57.627,7.879,21,64,0,50,59.882,7.115,44,75,90,50,57.677,9.255,12,75
521,63.863,8.254,25,68,0,50,65.529,3.859,57,73,90,50,63.467,7.797,17,73,59.745,7.927,21,64,0,50,60.902,3.442,55,68,90,50,59.100,7.516,14,68,57.039,8.532,21,64,0,50,60.843,4.492,53,69,90,50,58.460,8.570,14,71,57.255,7.691,21,62,0,50,58.941,7.171,44,69,90,50,57.421,8.793,12,69
522,63.843,8.758,23,68,0,50,65.333,4.954,55,73,90,50,63.412,8.172,17,75,60.863,8.220,21,66,0,50,61.902,3.407,53,68,90,50,59.723,7.664,14,69,58.020,8.622,21,64,0,50,61.471,5.353,53,73,90,50,58.710,8.714,14,73,56.627,7.874,19,62,0,50,58.353,7.197,44,69,90,50,56.615,8.892,12,73
523,62.471,7.981,25,66,0,50,63.961,4.956,53,73,90,50,62.154,7.778,16,73,60.314,8.083,21,64,0,50,61.725,4.060,53,68,90,50,59.516,7.724,14,71,58.510,8.698,21,66,0,50,61.569,5.822,53,71,90,50,58.967,8.969,14,71,56.843,7.941,21,62,0,50,58.098,7.420,44,69,90,50,56.764,9.276,12,75
524,61.980,8.118,23,66,0,50,64.627,4.386,57,73,90,50,61.812,7.931,17,75,59.137,7.767,21,64,0,50,61.490,4.012,53,71,90,50,58.959,7.601,14,71,55.706,8.203,21,64,0,50,59.196,4.919,51,68,90,50,57.141,8.609,12,71,57.569,7.950,21,62,0,50,58.294,7.476,42,69,90,50,57.030,8.904,12,73
525,60.529,7.875,23,64,0,50,62.882,4.803,55,73,90,50,60.180,7.842,14,73,58.588,7.772,21,62,0,50,61.627,3.698,55,69,90,50,58.857,7.560,14,69,55.765,7.893,21,60,0,50,59.216,5.289,50,68,90,50,56.653,8.273,12,69,56.627,7.725,21,62,0,50,58.196,7.102,44,69,90,50,56.270,9.053,12,71
526,59.431,7.595,23,64,0,50,61.882,4.232,55,68,90,50,59.331,7.625,14,71,58.745,7.944,21,64,0,50,60.275,3.677,53,68,90,50,58.218,7.452,14,68,54.647,7.496,21,59,0,50,58.294,4.969,48,68,90,50,55.692,8.309,12,68,56.471,7.267,21,62,0,50,57.882,7.904,42,68,90,50,56.566,9.105,12,69
527,58.059,7.300,23,62,0,50,60.255,3.735,53,66,90,50,58.575,7.275,14,68,58.882,8.153,21,64,0,50,60.843,3.936,53,68,90,50,58.615,7.569,14,71,54.314,7.786,21,59,0,50,58.039,6.164,44,68,90,50,54.995,8.566,14,69,54.647,7.496,21,64,0,50,56.961,7.568,42,69,90,50,55.336,9.003,12,71
